,0
0,actually
1,already
2,also
3,always
4,amaze
5,amp
6,another
7,anything
8,around
9,away
10,awesome
11,aww
12,baby
13,back
14,bad
15,beautiful
16,bed
17,best
18,better
19,big
20,birthday
21,bite
22,book
23,bore
24,break
25,buy
26,call
27,cant
28,car
29,check
30,cold
31,com
32,come
33,cool
34,could
35,cry
36,damn
37,day
38,days
39,die
40,do
41,dont
42,drink
43,early
44,eat
45,end
46,enjoy
47,even
48,ever
49,everyone
50,excite
51,feel
52,finally
53,find
54,finish
55,first
56,follow
57,forget
58,friday
59,friend
60,friends
61,fuck
62,fun
63,game
64,get
65,girl
66,give
67,glad
68,go
69,god
70,gonna
71,good
72,gotta
73,great
74,guess
75,guy
76,haha
77,happen
78,happy
79,hard
80,hate
81,head
82,hear
83,help
84,hey
85,hi
86,home
87,hope
88,hot
89,hours
90,house
91,http
92,hurt
93,im
94,job
95,keep
96,kid
97,know
98,last
99,late
100,later
101,leave
102,let
103,life
104,like
105,listen
106,little
107,live
108,lol
109,long
110,look
111,lose
112,lot
113,love
114,lt
115,luck
116,ly
117,make
118,man
119,many
120,may
121,maybe
122,mean
123,meet
124,might
125,miss
126,mom
127,monday
128,morning
129,move
130,movie
131,much
132,music
133,must
134,need
135,never
136,new
137,next
138,nice
139,night
140,nothing
141,oh
142,ok
143,old
144,omg
145,one
146,party
147,people
148,phone
149,plan
150,play
151,please
152,post
153,pretty
154,put
155,quot
156,rain
157,read
158,ready
159,really
160,right
161,run
162,sad
163,saw
164,say
165,school
166,see
167,seem
168,send
169,show
170,sick
171,since
172,sit
173,sleep
174,someone
175,something
176,song
177,soon
178,sorry
179,sound
180,start
181,stay
182,still
183,stop
184,stuff
185,suck
186,summer
187,sun
188,sunday
189,sure
190,take
191,talk
192,tell
193,thank
194,thats
195,thing
196,things
197,think
198,though
199,time
200,tire
201,today
202,tomorrow
203,tonight
204,try
205,tweet
206,twitpic
207,twitter
208,two
209,ugh
210,update
211,ur
212,us
213,use
214,wait
215,wake
216,wanna
217,want
218,watch
219,way
220,weather
221,week
222,weekend
223,well
224,wish
225,work
226,world
227,would
228,wow
229,write
230,www
231,ya
232,yay
233,yeah
234,year
235,yes
236,yesterday
237,yet
