,0
0,actually
1,add
2,already
3,also
4,always
5,amaze
6,amp
7,another
8,anything
9,around
10,ask
11,away
12,awesome
13,aww
14,awww
15,baby
16,back
17,bad
18,bed
19,best
20,better
21,big
22,bite
23,break
24,buy
25,call
26,cant
27,check
28,com
29,come
30,cool
31,could
32,cute
33,damn
34,day
35,days
36,do
37,dont
38,eat
39,either
40,end
41,enjoy
42,even
43,ever
44,everyone
45,everything
46,excite
47,feel
48,find
49,first
50,follow
51,followfriday
52,forget
53,free
54,friend
55,friends
56,fun
57,funny
58,game
59,get
60,girl
61,give
62,glad
63,go
64,gonna
65,good
66,great
67,guess
68,guy
69,haha
70,hahaha
71,happen
72,happy
73,hard
74,hate
75,head
76,hear
77,help
78,hey
79,hi
80,home
81,hope
82,house
83,http
84,hug
85,im
86,job
87,keep
88,kid
89,know
90,last
91,later
92,least
93,leave
94,let
95,life
96,like
97,listen
98,little
99,live
100,lol
101,long
102,look
103,lose
104,lot
105,love
106,lt
107,luck
108,ly
109,make
110,man
111,many
112,may
113,maybe
114,mean
115,meet
116,might
117,mine
118,miss
119,morning
120,movie
121,much
122,music
123,must
124,name
125,need
126,never
127,new
128,next
129,nice
130,night
131,nothing
132,oh
133,ok
134,okay
135,old
136,omg
137,one
138,pay
139,people
140,phone
141,play
142,please
143,poor
144,post
145,pretty
146,put
147,quot
148,rain
149,read
150,really
151,right
152,run
153,sad
154,saw
155,say
156,school
157,see
158,seem
159,send
160,show
161,sick
162,since
163,sleep
164,someone
165,something
166,song
167,soon
168,sorry
169,sound
170,start
171,stay
172,still
173,stop
174,stuff
175,suck
176,sure
177,take
178,talk
179,tell
180,thank
181,thats
182,thing
183,things
184,think
185,tho
186,though
187,time
188,today
189,tomorrow
190,tonight
191,totally
192,try
193,tweet
194,twitpic
195,twitter
196,two
197,ur
198,us
199,use
200,wait
201,wanna
202,want
203,watch
204,way
205,week
206,weekend
207,welcome
208,well
209,wish
210,work
211,would
212,wow
213,www
214,ya
215,yay
216,yeah
217,year
218,yes
219,yet
